cnt,wave,index,quartile,statistic,computed,official,difference,source_table
URY,2025,escs,Q2,se,2.966868609786304,2.8746300000000002,0.09223860978630372,Table I.B1.2b.24
URY,2025,escs,Q3,estimate,411.9536827057697,411.79933000000005,0.15435270576966786,Table I.B1.2b.24
URY,2025,escs,Q3,se,3.015325209901363,2.95542,0.059905209901363055,Table I.B1.2b.24
URY,2025,escs,Q4,estimate,462.36023535745136,461.95789,0.40234535745133826,Table I.B1.2b.24
URY,2025,escs,Q4,se,3.5665171404124676,3.6441200000000005,-0.07760285958753288,Table I.B1.2b.24
ARG,2018,homepos,Q1,estimate,328.07694524440666,328.08693000000005,-0.009984755593393402,Table I.B1.2b.38
ARG,2018,homepos,Q1,se,4.0084304975726575,3.98477,0.023660497572657313,Table I.B1.2b.38
ARG,2018,homepos,Q2,estimate,366.95675686494394,366.92651,0.03024686494393336,Table I.B1.2b.38
ARG,2018,homepos,Q2,se,3.9073723183619418,3.9182,-0.010827681638058362,Table I.B1.2b.38
ARG,2018,homepos,Q3,estimate,396.4964324183744,396.48013000000003,0.016302418374380068,Table I.B1.2b.38
ARG,2018,homepos,Q3,se,3.4718498228215413,3.4866500000000005,-0.014800177178459162,Table I.B1.2b.38
ARG,2018,homepos,Q4,estimate,427.5074254875876,427.50743000000006,-4.512412431267876e-06,Table I.B1.2b.38
ARG,2018,homepos,Q4,se,3.833140873896138,3.8386100000000005,-0.0054691261038626315,Table I.B1.2b.38
ARG,2022,homepos,Q1,estimate,338.7818480512122,338.78185,-1.948787826222542e-06,Table I.B1.2b.38
ARG,2022,homepos,Q1,se,3.01407793955429,3.0109800000000004,0.003097939554289386,Table I.B1.2b.38
ARG,2022,homepos,Q2,estimate,367.1932396149292,367.19324,-3.850707912533835e-07,Table I.B1.2b.38
ARG,2022,homepos,Q2,se,2.8088864572530903,2.7988600000000003,0.010026457253089927,Table I.B1.2b.38
ARG,2022,homepos,Q3,estimate,390.21397266835044,390.20231,0.011662668350425065,Table I.B1.2b.38
ARG,2022,homepos,Q3,se,2.867797358504256,2.8953900000000004,-0.027592641495744363,Table I.B1.2b.38
ARG,2022,homepos,Q4,estimate,414.3519549979313,414.34955,0.0024049979312508185,Table I.B1.2b.38
ARG,2022,homepos,Q4,se,3.657621154167732,3.6457,0.011921154167731984,Table I.B1.2b.38
ARG,2025,homepos,Q1,estimate,337.8517730990177,337.84836,0.003413099017677723,Table I.B1.2b.38
ARG,2025,homepos,Q1,se,3.03795433424074,3.0419600000000004,-0.004005665759260424,Table I.B1.2b.38
ARG,2025,homepos,Q2,estimate,355.88316870702533,355.87041000000005,0.012758707025284366,Table I.B1.2b.38
ARG,2025,homepos,Q2,se,3.3330713405570336,3.31814,0.01493134055703349,Table I.B1.2b.38
ARG,2025,homepos,Q3,estimate,377.09964295241855,377.09964,2.9524185265472624e-06,Table I.B1.2b.38
ARG,2025,homepos,Q3,se,3.500622084592702,3.5016300000000005,-0.0010079154072983876,Table I.B1.2b.38
ARG,2025,homepos,Q4,estimate,405.02563888189553,405.02564,-1.1181044783370453e-06,Table I.B1.2b.38
ARG,2025,homepos,Q4,se,5.299104217195271,5.296200000000001,0.0029042171952706752,Table I.B1.2b.38
BRA,2015,homepos,Q1,estimate,337.34311336962645,337.34311,3.36962642677463e-06,Table I.B1.2b.38
BRA,2015,homepos,Q1,se,3.2924361711205847,3.2938400000000003,-0.0014038288794155918,Table I.B1.2b.38
BRA,2015,homepos,Q2,estimate,363.9724670283434,363.94488,0.027587028343361908,Table I.B1.2b.38
BRA,2015,homepos,Q2,se,2.801943012155578,2.8052400000000004,-0.00329698784442245,Table I.B1.2b.38
BRA,2015,homepos,Q3,estimate,385.3559331252319,385.36371,-0.007776874768126163,Table I.B1.2b.38
